"ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"000009.SH","20130628","2824.135","2799.868","2864.06","2772.465","2817.907","6.228","0.221","26918791","22500439.497"
"000009.SH","20130627","2817.907","2863.376","2901.247","2816.449","2857.557","-39.65","-1.3875","32129133","27526790.86"
"000009.SH","20130626","2857.557","2822.045","2858.674","2800.65","2821.171","36.386","1.2897","28937041","24412265.617"
"000009.SH","20130625","2821.171","2810.851","2840.696","2634.676","2835.114","-13.943","-0.4918","37883022","29782288.069"
"000009.SH","20130624","2835.114","2996.044","2996.044","2811.463","3001.894","-166.78","-5.5558","29325916","24173987.293"
"000009.SH","20130621","3001.894","2967.474","3015.164","2928.096","3013.326","-11.432","-0.3794","22597999","19571744.325"
"000009.SH","20130620","3013.326","3087.921","3089.083","3011.559","3105.968","-92.642","-2.9827","23889943","21000194.326"
"000009.SH","20130619","3105.968","3111.606","3111.606","3054.459","3126.872","-20.904","-0.6685","23958082","20879320.456"
"000009.SH","20130618","3126.872","3116.252","3129.306","3086.242","3114.562","12.31","0.3952","21876093","20619898.649"
"000009.SH","20130617","3114.562","3115.35","3131.097","3087.485","3112.382","2.18","0.07","24140125","23068545.127"
"000009.SH","20130614","3112.382","3072.623","3115.507","3071.655","3069.646","42.736","1.3922","23959475","22329745.449"
"000009.SH","20130613","3069.646","3125.332","3125.332","3021.092","3162.05","-92.404","-2.9223","25435407","21976165.824"
"000009.SH","20130607","3162.05","3222.088","3230.397","3146.666","3222.441","-60.391","-1.8741","28769517","26272633.64"
"000009.SH","20130606","3222.441","3263.783","3267.058","3219.181","3276.096","-53.655","-1.6378","26765234","25344468.86"
"000009.SH","20130605","3276.096","3263.196","3278.486","3247.72","3269.384","6.712","0.2053","26413572","25384307.034"
"000009.SH","20130604","3269.384","3327.966","3327.966","3245.636","3335.902","-66.518","-1.994","35457000","33157444.105"
"000009.SH","20130603","3335.902","3339.541","3359.535","3327.353","3344.336","-8.434","-0.2522","35477666","34384915.198"
"000009.SH","20130531","3344.336","3360.427","3377.442","3342.664","3358.718","-14.382","-0.4282","39080110","38069067.133"
"000009.SH","20130530","3358.718","3339.627","3362.678","3332.648","3351.751","6.967","0.2079","39398067","37514355.106"
